,penalty,l1_ratio,alpha,max_iter,random_state,n_jobs,n_samples,n_features,n_classes,n_clusters_per_class,n_informative,flip_y,scale,time
199,l2,0.681194889,0.01,615,41,8,835,968,4,4,8,0.037868669,76.14430325,0.706108093
200,l1,0.104756973,0.001,816,698,2,709,649,2,3,6,0.090968024,31.68632861,2.124569893
201,elasticnet,0.263235955,0.0001,396,56,1,228,377,2,3,8,0.0962513,17.19418182,0.239703655
202,l2,0.353754066,0.0001,771,710,1,587,673,9,4,10,0.027785958,87.4069892,3.451908588
203,l2,0.601871975,0.001,440,915,1,354,958,9,2,7,0.052771811,40.48715492,1.657850504
204,l1,0.823799303,0.0001,649,405,4,433,610,3,3,7,0.078087367,47.12155139,1.104804516
205,l2,0.857784583,0.01,906,957,-1,170,255,7,4,8,0.096426824,87.47826597,0.107818604
206,none,0.890297019,0.001,319,173,-1,201,813,6,3,11,0.049750546,15.29685934,0.107252121
207,l2,0.427555659,0.01,357,446,2,974,619,7,4,8,0.013651033,29.30393642,1.204480886
208,elasticnet,0.206589874,0.001,283,573,1,155,102,9,5,11,0.080092541,49.90142968,0.295264959
209,none,0.28396959,0.0001,733,646,8,795,355,10,5,8,0.064049901,58.05266141,0.804626703
210,l2,0.551602024,0.01,113,943,1,377,988,3,4,6,0.044910772,33.7363168,0.158181667
211,l1,0.841259636,0.0001,513,135,2,234,949,2,5,10,0.023122336,21.75590475,0.625650406
212,l2,0.883645863,0.001,850,424,1,377,579,2,3,6,0.095703945,8.534303195,0.234840631
213,l1,0.688975018,0.0001,425,124,8,308,796,3,2,5,0.090271983,61.58512103,0.703760147
214,none,0.241086488,0.01,755,904,2,528,382,10,5,11,0.045647421,47.7618913,1.303739309
215,l2,0.724178211,0.01,537,572,-1,112,538,7,3,9,0.033349848,35.90568321,0.107157707
216,l2,0.12951209,0.01,577,315,4,527,653,3,4,8,0.081381714,59.46266523,0.30294466
217,l1,0.458909078,0.01,141,737,-1,141,430,9,4,8,0.076910228,49.31175811,0.107419252
218,elasticnet,0.156631243,0.001,863,34,8,153,599,3,5,10,0.008118572,58.65943817,0.704343557
219,l2,0.226457056,0.0001,302,387,-1,492,439,8,4,10,0.010203182,31.4316923,0.207597256
220,l2,0.396715463,0.01,372,145,2,674,138,8,5,9,0.074264375,99.02982839,0.402452946
221,elasticnet,0.62616578,0.0001,221,41,8,711,220,6,3,10,0.06843701,96.09285088,0.404195547
222,elasticnet,0.25845345,0.001,827,675,4,769,311,8,3,10,0.030433648,19.64543534,3.207444906
223,l1,0.565662608,0.001,393,599,-1,432,810,9,3,7,0.070221628,69.88694112,1.009940147
224,none,0.413038411,0.001,894,835,2,104,558,3,5,10,0.071661445,90.08493937,0.202099562
225,l2,0.549915352,0.001,153,389,8,122,997,8,5,11,0.032253522,87.65179612,0.103277206
226,none,0.213456329,0.001,152,955,8,103,580,6,2,7,0.060869294,19.81709475,0.103313208
227,l2,0.301855314,0.0001,152,277,8,651,753,6,4,8,0.05808079,41.82658723,0.103858471
228,elasticnet,0.556120371,0.001,473,474,8,590,127,9,3,11,0.055819627,86.97189916,0.704250574
229,l1,0.31662402,0.0001,633,309,-1,479,472,8,3,9,0.046866096,58.62611565,1.109833717
230,l1,0.550004581,0.001,479,481,4,308,297,3,2,7,0.045587042,14.51281603,0.303744316
231,l1,0.380301243,0.01,115,207,2,175,680,9,3,9,0.071197103,58.8379746,0.402446985
232,none,0.525453333,0.01,603,292,4,311,198,4,4,9,0.017088572,39.70125956,0.102391958
233,l1,0.380909565,0.001,323,768,8,551,950,6,2,6,0.039508354,72.23946322,1.205750704
234,none,0.526615813,0.001,648,895,1,141,845,2,2,7,0.065492942,8.053198043,0.09664607
235,none,0.637915177,0.0001,199,856,-1,555,829,9,2,10,0.030205588,63.10766714,0.208891392
236,l1,0.662935098,0.001,573,927,4,933,726,2,2,6,0.018096686,44.29434962,2.122477055
237,l2,0.419247293,0.001,244,819,1,595,867,3,5,8,0.022633558,17.34952394,0.472432613
238,l2,0.463013071,0.001,375,949,1,920,219,8,4,11,0.039521481,52.40669134,1.10949111
239,elasticnet,0.257671952,0.01,873,263,1,379,259,9,4,11,0.038463373,63.20493624,5.111808777
240,elasticnet,0.528200656,0.01,631,934,4,447,902,2,3,7,0.064714504,90.02432771,1.714421272
241,none,0.268962036,0.01,667,159,4,670,308,6,3,7,0.057597977,40.64870198,0.604001284
242,l2,0.709014986,0.001,208,482,2,635,849,7,2,10,0.009774323,15.23423096,0.603444099
243,l1,0.266283375,0.01,604,2,2,947,711,10,3,8,0.077780096,70.02027112,13.12324333
244,none,0.607153392,0.0001,598,707,2,359,317,4,3,7,0.099494085,60.45124896,0.303679943
245,elasticnet,0.454122761,0.001,750,990,1,839,555,5,3,10,0.014629295,47.54522039,12.00586462
246,elasticnet,0.34617432,0.0001,445,732,4,219,838,8,3,11,0.088886062,87.66276037,1.305246592
247,l1,0.153923298,0.0001,343,328,2,739,1000,4,5,8,0.091391152,85.85950384,3.007592201
248,l2,0.455340138,0.0001,840,589,4,564,532,8,4,9,0.0117767,26.46188168,0.804359674
249,l2,0.812896799,0.0001,555,541,-1,825,282,7,5,12,0.012398544,73.46217276,0.409047365
250,l2,0.463107185,0.0001,876,295,2,343,294,3,5,10,0.094309458,64.38227432,0.302393198
251,l1,0.542856135,0.01,292,420,8,958,451,10,3,10,0.043557851,76.83492591,1.807109833
252,elasticnet,0.334212094,0.01,376,867,-1,246,344,6,2,7,0.086364332,98.21859086,0.309515238
253,elasticnet,0.816884565,0.001,205,542,8,604,513,10,4,10,0.038379682,32.50078105,1.105271339
254,none,0.281729426,0.001,614,358,2,457,301,7,2,7,0.056399874,28.1533239,0.502449989
255,l2,0.213445004,0.001,983,501,8,593,449,5,3,6,0.025675032,24.28895346,0.403734207
256,elasticnet,0.411729886,0.0001,530,508,1,298,806,9,2,7,0.099442572,75.96695903,7.961787462
257,l2,0.854251258,0.01,267,586,1,857,906,9,2,11,0.048836547,83.15748823,2.327455044
258,l2,0.232670125,0.01,822,93,4,227,280,10,5,9,0.005586765,92.82015223,0.303394318
259,none,0.273203428,0.01,562,684,4,420,127,5,3,6,0.061160403,92.81157276,0.202492952
260,l1,0.357409771,0.001,614,601,8,961,261,7,3,10,0.014543626,59.52927707,1.407184601
261,elasticnet,0.879303278,0.0001,693,848,4,139,604,5,3,9,0.088368838,29.64056622,0.904234409
262,l2,0.185613561,0.0001,300,735,4,546,709,10,2,9,0.037136558,61.71630325,0.503633738
263,elasticnet,0.526790293,0.01,520,82,-1,826,251,3,3,8,0.05181217,40.3074777,1.009189606
264,l1,0.437912529,0.0001,729,58,1,264,610,2,4,6,0.083449327,71.0304677,0.631492615
265,none,0.579640493,0.001,135,1000,8,621,639,10,2,9,0.084696681,92.02280649,0.203840971
266,none,0.563175408,0.0001,297,867,4,688,223,6,5,7,0.086336086,40.4600581,0.202639341
267,l2,0.869899195,0.01,784,328,1,988,672,8,3,8,0.087451296,19.02309402,5.284466028
268,l1,0.726729464,0.01,525,342,-1,601,507,10,3,8,0.089121082,23.01842919,1.309058189
269,l1,0.504071787,0.0001,808,580,-1,413,612,2,2,6,0.069608538,82.0814141,1.102695465
270,elasticnet,0.670507324,0.0001,703,59,2,273,279,5,2,9,0.023497241,30.27303753,1.304525137
271,elasticnet,0.603722671,0.01,836,293,-1,369,117,8,5,11,0.065451986,93.9611091,0.608613491
272,elasticnet,0.602958822,0.001,794,283,4,344,439,6,3,9,0.064787622,57.22584778,2.00596714
273,l1,0.540730205,0.0001,580,946,8,280,359,3,2,6,0.041096028,31.01499103,0.404368162
274,l1,0.763065485,0.01,993,862,8,639,701,5,5,8,0.004838267,2.057463275,2.808521748
275,elasticnet,0.617037126,0.0001,536,761,8,138,186,8,5,9,0.010229483,8.048711186,0.203866005
276,elasticnet,0.682330258,0.001,306,393,1,586,930,10,3,8,0.081106146,63.57705414,11.54925156
277,elasticnet,0.693286336,0.0001,462,621,4,832,101,5,2,6,0.064009755,32.80530817,0.804394007
278,none,0.270943155,0.0001,123,849,-1,844,127,10,5,8,0.027965427,45.92429955,0.107597828
279,none,0.13801523,0.001,470,141,2,467,586,6,2,6,0.017550371,7.089536259,0.602917194
280,l2,0.451542576,0.01,752,164,4,683,519,8,5,8,0.095317368,70.48818681,0.803585768
281,l1,0.776230969,0.01,305,25,1,355,964,6,3,8,0.014793327,55.89243653,3.404470205
282,elasticnet,0.421834849,0.001,273,677,1,582,139,8,3,8,0.005061599,19.40664489,1.315821409
283,none,0.375576184,0.01,139,852,8,248,439,2,2,7,0.088425789,88.84287506,0.020538092
284,none,0.456152716,0.01,976,59,4,956,958,5,4,11,0.06123709,63.13834896,2.407641172
285,l1,0.199259499,0.0001,569,863,4,445,974,3,3,9,0.095052605,50.06681405,1.504990578
286,l1,0.3092515,0.001,778,391,1,799,302,5,4,9,0.015451062,82.09912189,5.506907463
287,l1,0.441655396,0.0001,837,28,1,347,796,5,3,9,0.099484476,98.15284547,6.247674227
288,none,0.775387975,0.0001,768,336,8,814,757,4,5,11,0.086001432,87.74699774,0.705196142
289,l2,0.274071249,0.01,790,534,8,746,729,4,5,9,0.044697938,66.99391135,0.604968548
290,l2,0.765220813,0.001,800,824,4,221,126,7,2,9,0.052433737,10.51029308,0.102300167
291,elasticnet,0.176174643,0.0001,365,775,2,714,827,7,3,8,0.09420977,14.62549128,6.312200069
292,none,0.112955748,0.01,489,981,2,678,498,9,2,10,0.082274815,4.809377556,1.304702282
293,elasticnet,0.87577843,0.01,456,732,-1,706,684,3,3,7,0.084812845,64.63121921,1.709811449
294,l1,0.412786562,0.001,529,578,8,207,539,5,4,8,0.097723179,17.65048008,0.404221058
295,elasticnet,0.433504079,0.001,783,985,-1,396,465,3,3,8,0.023697177,87.99824704,1.209336758
296,none,0.561035462,0.0001,427,946,-1,220,596,5,5,11,0.014499666,62.01320446,0.105567932
297,elasticnet,0.503995607,0.001,344,849,4,217,657,9,3,11,0.074574023,88.03208942,1.103881598
298,elasticnet,0.233788717,0.0001,616,565,1,281,634,5,4,8,0.036916889,18.67801264,3.807271242
299,none,0.582880073,0.0001,926,876,4,736,947,9,5,10,0.034484757,82.86012184,2.408072948
300,none,0.434171411,0.0001,582,618,2,329,807,2,3,9,0.086313074,12.2649088,0.191282749
301,l1,0.70537458,0.001,617,424,2,927,483,3,5,10,0.06705191,7.466623127,3.307845592
302,elasticnet,0.517250363,0.0001,152,300,2,925,794,7,3,8,0.072426248,92.80356796,3.308806896
303,l2,0.642342522,0.001,238,690,2,716,665,8,3,8,0.088280941,7.693238457,0.603850365
304,elasticnet,0.714671664,0.001,222,703,4,801,933,4,4,10,0.082103595,93.81580255,1.307037592
305,l1,0.668302535,0.0001,616,989,1,625,466,2,5,10,0.074304499,4.316483745,0.978690624
306,l2,0.440994686,0.0001,531,346,2,872,865,3,3,10,0.095468659,25.58711241,1.104955196
307,elasticnet,0.796891034,0.01,535,769,1,990,172,7,5,8,0.001662148,86.60653582,4.81092
308,elasticnet,0.372731927,0.001,478,419,4,779,361,6,5,7,0.096971657,4.322250274,2.107324839
309,l2,0.613790062,0.0001,765,485,1,582,810,2,3,9,0.080114993,8.317359368,0.450996637
310,none,0.563304831,0.001,978,449,2,304,133,2,4,10,0.051105506,60.03386954,0.059585571
311,none,0.823240011,0.001,865,555,-1,630,592,5,5,11,0.079993409,6.054656063,0.507925272
312,l1,0.868280794,0.0001,610,312,4,898,835,10,2,8,0.013573073,23.75979832,8.116755009
313,none,0.788616298,0.0001,236,194,-1,667,786,7,4,11,0.028095452,5.621519959,0.310322523
314,l2,0.21739786,0.001,288,34,-1,945,845,4,2,6,0.039169394,86.92928176,0.409238577
315,none,0.821103076,0.0001,592,488,1,686,197,2,3,7,0.011404748,48.60620537,0.113650322
316,none,0.207460043,0.01,808,893,8,242,787,7,5,11,0.046467903,86.50038806,0.303737402
317,l2,0.225516897,0.001,881,31,4,678,287,3,3,9,0.038315788,45.62967424,0.402831078
318,none,0.550461199,0.0001,899,345,1,101,205,9,3,9,0.037175236,32.0099972,0.23250699
319,l1,0.103730573,0.001,602,734,8,511,798,8,5,12,0.01128502,67.87913646,1.706056118
320,elasticnet,0.27709982,0.001,349,22,8,187,179,3,4,9,0.083841228,75.25448502,0.10331893
321,none,0.894221944,0.01,139,683,4,768,967,10,3,8,0.014289853,58.91636279,0.50408411
322,none,0.481426871,0.01,300,110,2,352,470,7,5,8,0.038875465,48.29430313,0.302393198
323,l2,0.1948295,0.001,658,521,-1,449,170,8,3,9,0.034593512,86.83723069,0.206986904
324,l2,0.341046218,0.01,116,298,2,824,181,3,2,8,0.039355776,23.98236362,0.102222681
325,none,0.560194063,0.01,646,38,8,522,159,6,2,8,0.002310325,47.49787544,0.203175545
326,l2,0.879644744,0.0001,371,215,1,480,798,4,5,8,0.009673327,47.70009537,0.708979607
327,l2,0.645946024,0.001,728,620,8,413,122,10,3,7,0.053571409,79.57218658,0.303561687
328,elasticnet,0.583699103,0.0001,662,701,-1,390,620,8,4,11,0.086656277,96.8337363,1.409017801
329,elasticnet,0.898331799,0.01,982,970,4,145,603,9,4,10,0.003463822,32.03113226,1.905335665
330,l2,0.534769531,0.01,219,868,1,439,962,7,5,11,0.094256497,99.6019635,0.803211212
331,l2,0.577021825,0.0001,117,511,1,282,261,10,3,11,0.005915473,72.78037416,0.123756409
332,l1,0.564603071,0.0001,255,457,4,399,621,2,2,8,0.04558289,48.04716761,0.357098818
333,none,0.274831655,0.001,476,892,4,664,139,4,2,6,0.059217098,92.75894638,0.202671766
334,l2,0.156852089,0.01,207,355,-1,429,887,2,5,9,0.052578038,29.69941693,0.098726749
335,none,0.403267276,0.01,610,705,8,631,167,2,5,10,0.072124431,98.77593305,0.118978739
336,none,0.484585704,0.001,105,318,1,421,922,6,2,9,0.064746368,27.91330611,0.307774782
337,elasticnet,0.515909286,0.01,859,336,2,931,954,6,2,7,0.045472019,72.01273202,16.3284297
338,l2,0.187585889,0.0001,371,55,1,134,591,5,3,10,0.019742862,1.805874287,0.189415216
339,l1,0.313073051,0.001,450,504,1,706,517,4,3,8,0.079851436,46.85563687,3.660544157
340,none,0.648031743,0.01,683,962,1,242,782,3,2,5,0.099416914,59.10558386,0.479953289
341,none,0.463489568,0.0001,790,445,4,320,310,7,4,9,0.087516462,42.33201315,0.30299449
342,none,0.751432662,0.0001,475,92,2,214,491,8,5,10,0.038415342,95.85203672,0.305146933
343,l1,0.472549598,0.0001,359,65,4,774,683,4,3,10,0.001681167,45.64566877,1.204627752
344,none,0.686315779,0.001,332,317,8,756,462,4,5,9,0.025512636,16.94287463,0.203642368
345,elasticnet,0.467859869,0.01,935,190,8,435,492,7,2,10,0.088716319,92.33423031,1.80638957
346,elasticnet,0.238732996,0.0001,869,520,1,474,903,10,5,10,0.078197816,54.37229317,25.80782533
347,elasticnet,0.256037268,0.01,875,989,1,587,279,10,2,8,0.035791809,25.97878234,8.465113163
348,l1,0.642763905,0.0001,176,1000,4,632,372,9,3,8,0.088106563,95.11219004,0.804142952
349,elasticnet,0.81988487,0.0001,291,78,4,413,524,3,5,9,0.067842036,81.91056759,0.603405952
350,elasticnet,0.5146527,0.0001,958,767,-1,961,539,5,3,8,0.013046459,68.12005901,4.21463418
351,l2,0.883893131,0.01,370,608,-1,934,369,9,3,8,0.095308615,77.30154294,0.406893492
352,l2,0.899070987,0.001,255,446,8,108,185,5,3,9,0.013927879,75.18023124,0.102949142
353,l2,0.179745199,0.0001,638,573,-1,273,537,6,4,8,0.041597631,68.03515642,0.207528114
354,l1,0.352006126,0.001,325,443,-1,324,784,2,3,8,0.042941572,78.35298997,0.45315814
355,l1,0.581874517,0.001,235,520,2,906,678,5,4,11,0.091148213,11.79061279,2.608753681
356,l1,0.147873575,0.001,699,244,1,819,490,5,3,10,0.02033817,41.00759026,7.742846489
357,none,0.667443979,0.0001,797,313,-1,178,784,9,2,11,0.036445025,7.893251094,0.308984995
358,l1,0.189635133,0.0001,663,934,-1,338,322,5,4,9,0.06929764,6.278400321,0.607381582
359,l1,0.780896261,0.0001,323,952,4,328,969,4,5,7,0.074511364,49.96532974,0.703698158
360,l1,0.219912786,0.0001,941,23,2,396,258,4,2,8,0.04717611,7.438854752,1.504465818
361,elasticnet,0.290344005,0.001,984,853,8,312,945,7,3,11,0.067909545,15.07585157,2.208393812
362,none,0.592426597,0.0001,597,925,8,825,849,8,2,7,0.062983213,34.99196355,0.70630455
363,l1,0.626895292,0.001,465,809,2,206,797,8,4,10,0.024918275,43.920123,1.904524326
364,none,0.815234301,0.01,935,601,-1,852,275,9,2,11,0.045125164,12.46942194,0.608947515
365,l1,0.698808702,0.0001,840,43,-1,873,691,3,3,6,0.033068259,23.55699923,3.214705944
366,elasticnet,0.830916516,0.001,107,128,-1,410,187,8,4,8,0.079653862,52.12587611,0.208697319
367,l1,0.425947671,0.0001,515,560,-1,171,256,3,3,10,0.025131817,34.78969077,0.20655632
368,l2,0.701920132,0.001,708,249,8,607,172,7,4,8,0.002529847,77.76347876,0.303868294
369,l2,0.706346352,0.01,384,718,2,266,938,9,5,10,0.032010935,65.15454663,0.70286274
370,l2,0.810255062,0.001,165,520,8,636,613,4,4,10,0.062888025,25.77771874,0.203809977
371,elasticnet,0.492873339,0.01,220,117,-1,694,787,10,5,9,0.051434494,40.72112607,1.107980013
372,none,0.78600489,0.001,955,142,8,946,449,4,3,8,0.090492092,17.24057406,0.805196762
373,l2,0.123537001,0.001,969,642,4,421,474,9,2,7,0.063735764,70.55547641,0.803654909
374,elasticnet,0.744073427,0.01,926,465,4,417,195,9,4,9,0.046513055,41.96812308,1.80542469
375,elasticnet,0.164398179,0.0001,538,827,2,983,951,8,2,7,0.053015456,33.95792832,15.32679009
376,l1,0.478378435,0.01,469,133,1,301,480,2,2,6,0.004951123,66.53641286,0.368931532
377,elasticnet,0.257598266,0.01,284,488,-1,938,138,10,3,7,0.042869937,78.47735548,0.610363483
378,none,0.249395282,0.0001,644,525,8,596,560,9,3,8,0.024146475,11.2618545,0.604510069
379,l2,0.591092701,0.0001,574,75,-1,536,503,7,4,11,0.099794426,35.38308314,0.307947397
380,none,0.550391513,0.01,197,171,-1,601,932,6,2,6,0.082603018,48.3786264,0.208201408
381,none,0.241945179,0.001,460,502,4,996,297,3,2,9,0.041700146,53.10944523,0.303123713
382,l1,0.491878566,0.01,770,483,1,797,737,8,4,8,0.02995169,69.09366264,20.08930254
383,elasticnet,0.427740427,0.01,666,159,-1,590,659,2,2,7,0.040450331,45.47515858,1.628735065
384,l2,0.45838962,0.0001,700,636,4,181,983,9,5,9,0.071007999,53.57386642,0.503727436
385,l2,0.105945311,0.001,943,986,1,660,515,3,5,7,0.024281029,52.74006268,1.238717794
386,none,0.562741567,0.01,821,382,8,627,443,9,2,10,0.063403333,91.84288187,0.705361128
387,none,0.378722934,0.0001,1000,238,-1,631,556,8,4,12,0.081441914,50.06012961,0.609632015
388,l1,0.815647188,0.001,181,878,-1,836,451,9,2,7,0.026010716,27.03317712,0.608779192
389,l1,0.560625016,0.001,921,203,1,182,690,5,4,9,0.011855411,46.73424621,3.388651848
390,l1,0.168657042,0.001,718,289,-1,827,708,6,2,7,0.077984262,72.96295068,2.811027527
391,l2,0.665102041,0.001,296,311,2,396,935,10,4,11,0.087783325,33.43571673,0.803361893
392,l2,0.739962494,0.001,557,336,1,807,762,3,4,9,0.061598941,72.32192353,1.288440228
393,elasticnet,0.480918216,0.01,520,817,-1,117,246,7,3,11,0.062472547,52.09598259,0.205953836
394,none,0.419413541,0.0001,977,933,2,686,851,2,3,5,0.036799462,87.73047375,0.705944538
395,elasticnet,0.787522146,0.01,695,682,4,376,337,10,2,7,0.095681834,43.93960492,2.10499692
396,elasticnet,0.371589166,0.01,796,415,8,431,930,2,3,9,0.041319313,31.5831425,1.909904242
397,elasticnet,0.325384647,0.0001,311,40,1,438,844,9,3,8,0.059010379,31.76305712,7.195497751
398,none,0.855647883,0.01,601,227,-1,709,434,10,3,9,0.078095692,19.33295786,0.508511782
399,l1,0.519994586,0.0001,600,759,8,490,644,8,5,8,0.068453706,50.19555901,1.305400372
